Rank,Name
1,Johannes Gutenberg
2,Christopher Columbus
3,Martin Luther
4,Galileo Galilei
5,William Shakespeare
6,Sir Isaac Newton
7,Charles Darwin
8,St Thomas Aquinas
9,Leonardo Da Vinci
10,Ludwig Van Beethoven
11,John Locke
12,Mohandas Gandhi
13,Michelangelo Buonarroti
14,Karl Marx
15,Sigmund Freud
16,Napoleon Bonaparte
17,Albert Einstein
18,Nicholas Copernicus
19,Jean-Jacques Rousseau
20,Adolf Hitler
21,Adam Smith
22,George Washington
23,Wilbur Wright
24,Orville Wright
25,Rene Descartes
26,Louis Pasteur (1822-1895)
27,Peter the Great
28,Thomas Alva Edison - American
29,William I of England
30,Dante Alighieri
31,Elizabeth I 1588-1603
32,Abraham Lincoln
33,Johannes Kepler
34,Leo Tolstoy
35,Johann Sebastian Bach
36,Voltaire
37,Franklin Delano Roosevelt
38,Winston Churchill
39,St. Francis of Assisi
40,Niccolo Machiavelli
41,Vladimir Lenin
42,Ferdinand Magellan
43,Genghis Khan
44,Miguel De Cervantes
45,Mary Wollstonecraft
46,Rembrandt
47,William Harvey
48,"Simon Bolivar, Libertador"
49,Immanuel Kant
50,Mao Zedong (毛泽东)
51,Henry Ford
52,Wolfgang Amadeus Mozart
53,John Milton
54,Benjamin Franklin
55,Alexander Fleming
56,Martin Luther King Jr
57,Toyotomi Hideyoshi
58,Frederick the Great
59,Georg Wilhelm Friedrich Hegel
60,Chu Yuan-Chang
61,"Charles V, Holy Roman Emperor"
62,Geoffrey Chaucer
63,Louis XIV (1638-1715)
64,Thomas Jefferson
65,Pope Urban II
66,Marco Polo
67,Antoine-Laurent Lavoisier
68,Robespierre (1758-1794)
69,John Calvin
70,Charles Dickens
71,Suleiman the Magnificent
72,Paul Cezanne
73,Murasaki Shikibu
74,Alexander Graham Bell
75,Marie Curie
76,John Eckert
77,Fyodor Dostoevsky
78,Pope Innocent III
79,Frederick Douglass
80,Robert Oppenheimer
81,John Stuart Mill
82,Joseph Stalin
83,Joan of Arc
84,Francis Bacon
85,Filippo Brunelleschi
86,Elizabeth Cady Stanton
87,Vladimir K Zworykin
88,Gottfried Wilhelm Leibniz
89,William Le Baron Jenney
90,Edward Jenner
91,Queen Victoria
92,Babur
93,Chu Hsi
94,Phineas T Barnum
95,Guglielmo Marconi
96,Marsilius of Padua
97,Desiderius Erasmus
98,Alexander Von Humboldt
99,Margaret Sanger
100,Henry VIII 1509-47
101,Petrus Peregrinus
102,Otto Lilienthal
103,Father Berthold Schwartz
104,Gregor Mendel
105,Nikolaus Otto
106,Charles-Louis Montesquieu
107,Anton Van Leeuwenhoek
108,Paracelsus
109,Carl Gauss
110,James Watt
111,William Thomson
112,Petrarch
113,William Tecumseh Sherman
114,Carl Von Clausewitz
115,Saint Ignatius of Loyola
116,Okubo Toshimichi
117,Queen Isabella of Spain
118,Otto Von Bismarck
119,Michael Faraday (1791-1867)
120,Florence Nightingale
121,B.F. Skinner
122,Joseph Lister
123,James D Watson
124,Thomas Hunt Morgan
125,Vasco Da Gama
126,Saladin
127,David Ricardo
128,Ernest Rutherford
129,Raphael Sanzio
130,Auguste Comte
131,Johann Wolfgang  Goethe
132,Maimonides
133,Andrea Palladio
134,Lech Wałęsa
135,Eli Whitney
136,Max Planck
137,Joseph Priestley
138,Catherine the Great
139,Susan B. Anthony
140,Carl Benz
141,Eleanor Roosevelt
142,Robert Boyle
143,George Stephenson
144,Blaise Pascal (1623-1662)
145,D W Griffith
146,Carl Jung
147,George Boole
148,Akbar
149,Pablo Picasso
150,Hernan Cortes
151,Thomas Hobbes
152,Fakr Ad-Din Ar-Razi
153,Henry the Navigator
154,Sarah Bernhardt
155,Le Corbusier
