Name
Johannes Gutenberg
Christopher Columbus
Martin Luther
Galileo Galilei
William Shakespeare
Sir Isaac Newton
Charles Darwin
St Thomas Aquinas
Leonardo Da Vinci
Ludwig Van Beethoven
John Locke
Mohandas Gandhi
Michelangelo Buonarroti
Karl Marx
Sigmund Freud
Napoleon Bonaparte
Albert Einstein
Nicholas Copernicus
Jean-Jacques Rousseau
Adolf Hitler
Adam Smith
George Washington
Wilbur Wright
Orville Wright
Rene Descartes
Louis Pasteur (1822-1895)
Peter the Great
Thomas Alva Edison - American
William I of England
Dante Alighieri
Elizabeth I 1588-1603
Abraham Lincoln
Johannes Kepler
Leo Tolstoy
Johann Sebastian Bach
Voltaire
Franklin Delano Roosevelt
Winston Churchill
St. Francis of Assisi
Niccolo Machiavelli
Vladimir Lenin
Ferdinand Magellan
Genghis Khan
Miguel De Cervantes
Mary Wollstonecraft
Rembrandt
William Harvey
"Simon Bolivar, Libertador"
Immanuel Kant
Mao Zedong (毛泽东)
Henry Ford
Wolfgang Amadeus Mozart
John Milton
Benjamin Franklin
Alexander Fleming
Martin Luther King Jr
Toyotomi Hideyoshi
Frederick the Great
Georg Wilhelm Friedrich Hegel
Chu Yuan-Chang
"Charles V, Holy Roman Emperor"
Geoffrey Chaucer
Louis XIV (1638-1715)
Thomas Jefferson
Pope Urban II
Marco Polo
Antoine-Laurent Lavoisier
Robespierre (1758-1794)
John Calvin
Charles Dickens
Suleiman the Magnificent
Paul Cezanne
Murasaki Shikibu
Alexander Graham Bell
Marie Curie
John Eckert
Fyodor Dostoevsky
Pope Innocent III
Frederick Douglass
Robert Oppenheimer
