qid,enTitle,pageviews_30d_en,sitelinks
Q5219443,Danielle_Spencer_(American_actress),538785,8
Q11571,Cristiano_Ronaldo,472460,174
Q111240,Jim_Lovell,435483,57
Q26876,Taylor_Swift,426259,148
Q21738166,Jenna_Ortega,407595,66
Q3574497,Zach_Cregger,396610,17
Q49561909,Sydney_Sweeney,376245,64
Q313788,Dean_Cain,358162,40
Q22686,Donald_Trump,347297,256
Q635,Cleopatra,342276,153
Q60809,Ansel_Adams,311567,56
Q133151,Ozzy_Osbourne,294077,92
Q13560358,Julia_Garner,289422,45
Q235219,Amy_Madigan,287069,33
Q83325,Pamela_Anderson,282833,92
Q47664,Catherine_Zeta-Jones,265493,88
Q44903,Lindsay_Lohan,258744,85
Q100602910,Hugo_Ekitike,254853,28
Q7747,Vladimir_Putin,252856,231
Q465749,Kristi_Noem,239041,39
Q2904131,Jeffrey_Epstein,237418,54
Q76476288,Khamzat_Chimaev,234325,30
Q114232889,Corey_Mylchreest,231789,12
Q65950315,Benjamin_Šeško,219669,45
Q63150092,Lokesh_Kanagaraj,212350,16
Q1354843,Machine_Gun_Kelly_(musician),211489,43
Q48870794,Dricus_du_Plessis,208567,16
Q58444,Liam_Neeson,206429,87
Q229669,Malin_Akerman,204098,53
Q66742521,Miguel_Uribe_Turbay,203703,16
Q33729164,Georgina_Rodríguez,200117,25
Q483507,Kelly_Clarkson,190184,77
Q14752155,Pedro_Pascal,184882,60
Q60068,Rajinikanth,182971,57
Q115411254,Emma_Myers,182672,39
Q315271,Jason_Momoa,181758,67
Q18222476,Sofia_Carson,180798,45
Q106997,Jamie_Lee_Curtis,178611,71
Q17380672,Margaret_Qualley,175858,48
Q194333,Billy_Joel,175327,63
Q28561969,XXXTentacion,174530,62
Q113773403,Sydney_Chandler,171155,9
Q20830808,Gianluigi_Donnarumma,169018,58
Q7636122,Suleiman_Obeid,161210,16
Q17352078,Dawn_Brancheau,161074,7
Q3018182,David_Justice,161050,11
Q212545,Natasha_Richardson,160373,56
Q16156312,Austin_Abrams,158021,25
Q132952,Adam_Sandler,155492,83
Q1033016,Halle_Berry,154442,106
Q229975,Brittany_Snow,154257,39
Q124429774,Cam_Little,153629,2
Q30001834,Percy_Hynes_White,151922,26
Q28034971,Zohran_Mamdani,151126,46
Q41396,Josh_Brolin,148196,60
Q316064,John_F._Kennedy_Jr.,147900,42
Q112144155,Hunter_Doohan,147533,20
Q202313,Chad_Michael_Murray,147251,51
Q23681162,Soubin_Shahir,143919,4
Q105581073,Ethel_Cain,143904,19
Q5556756,Ghislaine_Maxwell,143006,31
Q1189113,Alden_Ehrenreich,142124,36
Q7407093,Sam_Altman,140854,53
Q83338,Robin_Williams,140347,135
Q44176,Hulk_Hogan,140051,71
Q317521,Elon_Musk,138541,154
Q7377106,Upendra_(actor),138279,15
Q2831,Michael_Jackson,137743,280
Q235328,Alison_Brie,137612,44
Q28935729,JD_Vance,135470,90
Q41173,Demi_Lovato,135433,116
Q1336716,Trevor_Moore_(comedian),135061,19
Q6159535,Vanessa_Kirby,134170,49
Q9682,Elizabeth_II,133843,210
Q126361834,Giovanni_Leoni,132916,16
Q20924746,Kim_Davis,132397,7
Q34436,Scarlett_Johansson,132330,135
Q309835,Timothy_Olyphant,131637,47
Q298364,Jeffrey_Dahmer,129072,63
Q352,Adolf_Hitler,127366,243
Q231635,Sara_Paxton,127108,30
Q44437,John_Cena,126319,86
Q119798,Michael_Douglas,124614,90
Q318223,Max_Martin,123860,34
Q2680,Bruce_Willis,122466,104
Q432473,Melania_Trump,122107,104
Q51120751,Nick_Fuentes,121204,18
Q43274,Charles_III,120841,157
Q100146113,Karoline_Leavitt,120344,26
Q16056053,Jack_Grealish,119502,57
Q37079,Tom_Cruise,119208,112
Q124031330,Evie_Templeton,119010,9
Q123751521,Anas_Al-Sharif,118527,18
Q135108208,Ejae,117814,4
Q28134241,Manny_Jacinto,117641,20
Q184103,Christina_Ricci,117265,85
Q215855,Jeff_Buckley,116991,44
Q7836292,Travis_Kelce,116569,25
Q129719542,Bonnie_Blue_(actress),116558,12
Q43723,Benjamin_Netanyahu,116504,127
Q151113,Billie_Piper,114112,35
Q135114696,Aneet_Padda,113710,6
Q383930,Dave_Franco,113667,50
Q553704,Cameron_Boyce,113258,50
Q4440,Eric_Bana,113225,62
Q9696,John_F._Kennedy,112556,176
Q192218,Ted_Bundy,112440,71
Q1361260,John_Paul_Getty_III,112216,18
Q70954450,David_Corenswet,112039,35
Q113644237,Lola_Tung,110509,14
Q615,Lionel_Messi,110199,186
Q7396400,Sabrina_Carpenter,109976,64
Q231726,Hailee_Steinfeld,109882,64
Q115572007,Isaac_Ordonez,109399,6
Q16832067,Rachita_Ram,109147,11
Q303,Elvis_Presley,108853,186
Q698173,Ana_de_Armas,108685,59
Q43416,Keanu_Reeves,108624,108
Q110281146,Chappell_Roan,108579,36
Q76,Barack_Obama,108050,252
Q30121972,Charlie_Kirk,107367,18
Q439722,Son_Heung-min,107204,74
Q2315802,Dakota_Johnson,107158,72
Q168847,Brittany_Murphy,106544,67
Q82786,Leslie_Nielsen,106421,73
Q35332,Brad_Pitt,105658,126
Q705525,Peter_Thiel,105314,42
Q229430,Reba_McEntire,105032,55
Q20740994,J._J._Spaun,104362,5
Q9439,Queen_Victoria,104295,149
Q440353,Gwendoline_Christie,102912,49
Q104061,Steve_Buscemi,102851,69
Q3329808,Benedict_Wong,102848,43
Q352717,David_Berkowitz,102094,30
Q461391,Gavin_Newsom,101494,46
Q101428652,Jasmine_Crockett,101438,15
Q237324,Lisa_Marie_Presley,100787,52
Q7297242,Ray_Brooks_(actor),100405,4
Q449173,Carolyn_Bessette-Kennedy,99613,18
Q1865564,Tommy_Fleetwood,99379,17
Q113472432,Carlos_Baleba,98421,18
Q15937109,Rachel_Brosnahan,98331,38
Q81520,Pierce_Brosnan,98152,91
Q112805534,Anna_Paulina_Luna,97782,13
Q103939,Charlie_Sheen,97695,71
