qid,name,pageviews_sum_global,langs_seen
Q191084,Val Kilmer,5716599,de,en,es,fr,ja
Q2756349,Liam Payne,5588229,de,en,es,fr
Q229528,Michelle Trachtenberg,4386464,de,en,es,fr,ja
Q317521,Elon Musk,4095846,de,en,es,fr,ja
Q635,Cleopatra,3666764,de,en,es,fr,ja
Q22686,Donald Trump,3174917,de,en,es,fr,ja
Q11571,Cristiano Ronaldo,2099187,de,en,es,fr,ja
Q216936,Sean Combs,1831522,de,en,es,fr
Q133151,Ozzy Osbourne,1736933,de,en,es,fr,ja
Q54812588,Jannik Sinner,1679249,de,en,es,fr,ja
Q60809,Ansel Adams,1609896,en
Q23685,Jimmy Carter,1550505,de,en,es,fr,ja
Q23448791,Aryna Sabalenka,1500432,en,es,fr,ja
Q2904131,Jeffrey Epstein,1397048,de,en,es,fr,ja
Q392,Bob Dylan,1315052,de,en,es,fr,ja
Q172653,Maggie Smith,1313405,de,en,es,fr
Q49561909,Sydney Sweeney,1291548,de,en,es,fr,ja
Q212772,Cheryl,1287011,de,en,es,fr
Q615,Lionel Messi,1263521,de,en,es,fr,ja
Q352,Adolf Hitler,1250867,de,en,es,fr,ja
Q110281146,Chappell Roan,1245300,de,en,es,fr
Q1398256,Michel Blanc,1226737,en,es,fr
Q28935729,JD Vance,1218443,de,en,es,fr,ja
Q7396400,Sabrina Carpenter,1216056,de,en,es,fr
Q39263365,Coco Gauff,1215110,en,es,fr,ja
Q1060054,Toshiyuki Nishida,1208793,en,ja
Q14752155,Pedro Pascal,1162767,de,en,es,fr,ja
Q113704154,Lamine Yamal,1108479,de,en,es,fr,ja
Q151892,Ariana Grande,1084527,de,en,es,fr,ja
Q37079,Tom Cruise,1083290,de,en,es,fr,ja
Q40252,Cleopatra I Syra,1036145,es
Q44176,Hulk Hogan,1027904,de,en,es,fr,ja
Q119853700,Natalia Grace Barnett,1012568,de,en,es,fr
Q9682,Elizabeth II,988993,de,en,es,fr
Q43416,Keanu Reeves,983458,de,en,es,fr,ja
Q4461939,Vanessa Trump,979540,de,en,fr
Q2831,Michael Jackson,971340,de,en,es,fr,ja
Q10853588,Kamala Harris,925243,de,en,fr,ja
Q34436,Scarlett Johansson,908612,de,en,es,fr,ja
Q26876,Taylor Swift,908583,de,en,es,fr,ja
Q19877770,Timothée Chalamet,896302,de,en,es,fr,ja
Q450675,Pope Francis,895242,en,es
Q19848,Lady Gaga,894071,de,en,es,fr,ja
Q233905,Linda McMahon,888870,de,en,es,ja
Q303,Elvis Presley,865794,de,en,es,fr,ja
Q298364,Jeffrey Dahmer,859827,de,en,es,fr,ja
Q517,Napoleon,855737,de,en,es,fr,ja
Q7747,Vladimir Putin,844296,de,en,es,fr,ja
Q5608,Eminem,843407,de,en,es,fr,ja
Q2680,Bruce Willis,840082,de,en,es,fr,ja
Q43203,Clint Eastwood,827219,de,en,es,fr,ja
Q100146113,Karoline Leavitt,827067,de,en,fr,ja
Q2685,Arnold Schwarzenegger,820380,de,en,es,fr,ja
Q29564107,Billie Eilish,808973,de,en,es,fr,ja
Q43274,Charles III,808335,de,en,es,fr
Q17380672,Margaret Qualley,800301,de,en,es,fr,ja
Q2658592,Rodney Alcala,784003,de,en,es
Q76,Barack Obama,780227,de,en,es,fr
Q83325,Pamela Anderson,776730,de,en,es,fr,ja
Q28561969,XXXTentacion,773126,en,es,fr
Q37459,Nicole Kidman,767967,de,en,es,fr,ja
Q21592474,Cynthia Erivo,766986,de,en,es,fr,ja
Q4391858,Shohei Ohtani,760208,en,es,fr,ja
Q192533,Mark Carney,756838,de,en,es,fr
Q58444,Liam Neeson,753710,de,en,es,fr,ja
Q937,Albert Einstein,749560,de,en,es,fr,ja
Q162959,Blake Lively,740083,de,en,es,fr
Q35332,Brad Pitt,739537,de,en,es,fr,ja
Q1352872,Robert F. Kennedy Jr.,737691,de,en,es,fr
Q132952,Adam Sandler,721371,de,en,es,fr
Q18735049,Mia Khalifa,719688,de,en,es,fr
Q6279,Joe Biden,718572,de,en,es,fr
Q61693947,Rachel Zegler,709281,de,en,es,fr,ja
Q15869,Freddie Mercury,702942,de,en,es,fr,ja
Q9696,John F. Kennedy,696083,de,en,es,fr
Q2737041,Chatrapati Sambhaji Maharaj,681581,en
Q19873687,Belle Gibson,678457,en
Q2496707,Takashi Yanase,675128,ja
Q72832,Cassie Ventura,671980,de,en,es,fr
Q5812,Novak Djokovic,671113,de,en,fr,ja
Q486959,Kim Sae-ron,669162,de,en,es,fr,ja
Q7407093,Sam Altman,662071,de,en,es,fr
Q83338,Robin Williams,657218,de,en,es,fr
Q36159,LeBron James,656797,en,es,fr,ja
Q698173,Ana de Armas,652752,de,en,es,fr,ja
Q192682,Ryan Reynolds,647551,de,en,es,fr,ja
Q21914464,Dua Lipa,642256,de,en,es,fr
Q9960,Ronald Reagan,637615,de,en,es,fr
Q38111,Leonardo DiCaprio,637516,de,en,es,fr
Q104639732,Kash Patel,631226,de,en,es
Q10738,Dwayne Johnson,628057,de,en,es,fr,ja
Q36949,Robert De Niro,618461,de,en,es,fr,ja
Q432473,Melania Trump,612407,de,en,es,fr
Q9439,Victoria,610737,de,en,es,fr,ja
Q3099714,Justin Trudeau,608718,de,en,es,fr
Q8007,Franklin Delano Roosevelt,605085,de,en,es,fr
Q57618112,MrBeast,600133,de,en,es,fr,ja
Q189489,Zendaya,598164,de,en,es,fr,ja
Q207,George W. Bush,590966,de,en,es,fr
Q13909,Angelina Jolie,584357,de,en,es,fr,ja
Q192218,Ted Bundy,583328,de,en,es,fr
Q27975838,Alice Weidel,579305,de,en,es,ja
Q43044,Demi Moore,575654,de,en,es,fr,ja
Q41421,Michael Jordan,574522,en,es,fr
Q5556756,Ghislaine Maxwell,572495,de,en,es,fr
Q38370,Henry VIII of England,569302,de,en,es,fr
Q855,Joseph Stalin,565928,de,en,es,fr,ja
Q40026,Sylvester Stallone,564538,de,en,es,fr
Q47875,Robbie Williams,564392,de,en,es,fr,ja
Q21738166,Jenna Ortega,560257,de,en,es,fr,ja
Q83287,Selena Gomez,556597,de,en,es,fr
Q43723,Benjamin Netanyahu,555304,de,en,es,fr,ja
Q10490,Ayrton Senna,555198,de,en,es,fr,ja
Q566257,Friedrich Merz,547572,de,en,es,fr,ja
Q1124,Bill Clinton,547497,de,en,es,fr
Q21621995,Kylian Mbappé,544559,de,en,es,fr
Q103578,Macaulay Culkin,544558,de,en,es,fr,ja
Q302,Jesus Christ,543815,de,en,es,fr,ja
Q194333,Billy Joel,539783,de,en,es
Q25936414,Millie Bobby Brown,537878,de,en,es
Q130798,Kendrick Lamar,536346,de,en,fr,ja
Q26923245,Mikey Madison,535117,de,en,es,fr
Q6109517,Leo XIV,535088,de,en,es,fr,ja
Q2315802,Dakota Johnson,533208,de,en,es,fr
